Timestamp,Score,elective,satisfaction,would_choose_again,alt_elective,enjoy_coding,satisfying_task,had_enough_info,comments
9/8/2026 10:05:35,,Quality Assurance,4,Yes,,Testing,Making sure things work correctly and don't break in production,2,
9/8/2026 10:17:45,,Cloud Computing,5,Yes,,N/A,Making things scale reliably (infrastructure performance uptime),4,N/A
9/8/2026 10:18:10,,Cybersecurity,5,Yes,Quality Assurance,I enjoy finding what is wrong in a system. Finding the functionality and why it the way it is,Finding and closing security gaps before someone else finds them,5,A workshop on all the electives from former WeThinkCode students would have been insightful.
9/8/2026 10:24:50,,Cloud Computing,3,No,Blockchain Development,Seeing software I wrote execute,Making something visual and interactive that people directly use,3,
9/8/2026 10:29:41,,Data Science,3,No,System Integration,Seeing everything come together,Getting separate systems/services to work together smoothly,3,I should have done more research
9/8/2026 10:29:46,,Data Science,4,Yes,,Having to build an application from absolutely nothing is the best part.,Turning raw data into something useful or understandable,3,
9/8/2026 10:38:33,,Cloud Computing,5,Yes,Mobile Development,Seeing your code go from random text on a screen to a live working application.,Making sure things work correctly and don't break in production,4,
9/8/2026 10:41:46,,Cloud Computing,5,Yes,Data Science,,Making sure things work correctly and don't break in production,4,
9/8/2026 10:46:29,,Data Science,5,Yes,,The idea of instructing computers and making them do what I instruct them to do.,Turning raw data into something useful or understandable,5,
9/8/2026 10:46:52,,Cloud Computing,3,Yes,Cybersecurity,At the end I get to show people my work. I literally get to code a literal perspective in life line by line.,Making things scale reliably (infrastructure performance uptime),4,Knowing that cloud computing comes with a lot of theory. AWS on its own has 200+ services.
9/8/2026 10:47:52,,Data Science,5,Yes,,I enjoy the problem-solving side of software development the most.,Turning raw data into something useful or understandable,3,The short courses we were required to complete provided useful insight.
9/8/2026 10:48:02,,Cybersecurity,3,Not sure,,I like solving problems,Making sure things work correctly and don't break in production,2,
9/8/2026 10:56:04,,Mobile Development,5,Yes,,I enjoy creating something from an idea and seeing it actually work.,Making something visual and interactive that people directly use,3,
9/8/2026 11:22:11,,Data Science,4,Yes,,Being able to bring an idea to life.,Turning raw data into something useful or understandable,2,
9/8/2026 12:10:44,,System Integration,4,No,Cloud Computing,The joy of seeing an idea come to life,Getting separate systems/services to work together smoothly,5,
9/8/2026 14:05:58,,Cloud Computing,5,Yes,Cloud Computing,Problem solving,Making things scale reliably (infrastructure performance uptime),3,A real demonstration of the tools used in Cloud Computing
9/8/2026 15:54:57,,System Integration,4,Yes,,I like solving problems the most,Getting separate systems/services to work together smoothly,5,More information about the elective
9/8/2026 16:37:21,,System Integration,4,No,Data Science,I don't really enjoy writing software but I enjoy shipping it via DevOps principles.,Making sure things work correctly and don't break in production,3,N/A
9/8/2026 18:15:03,,Mobile Development,5,Yes,,Implementing cool features that make life just a little bit easy,Making things scale reliably (infrastructure performance uptime),2,
9/8/2026 18:26:52,,Data Science,5,Yes,,,Getting separate systems/services to work together smoothly,5,
9/8/2026 19:08:39,,Cloud Computing,4,Yes,,Being able to create something of my own,Making something visual and interactive that people directly use,3,Getting a workshop from someone experienced in the elective
9/8/2026 20:21:35,,Cloud Computing,4,Yes,Cybersecurity,I enjoy the ability to create something that can solve real life problems.,Getting separate systems/services to work together smoothly,3,
9/8/2026 20:58:26,,Cybersecurity,5,Yes,,If I can imagine it I can probably make it,Finding and closing security gaps before someone else finds them,5,
9/8/2026 21:06:48,,Data Science,2,No,System Integration,Building real solutions,Making something visual and interactive that people directly use,1,A Workshop explaining clearly on each and every elective.
9/8/2026 21:26:53,,Cloud Computing,5,Yes,,Building systems that work well together,Making things scale reliably (infrastructure performance uptime),5,
9/8/2026 21:27:46,,Cloud Computing,2,No,Quality Assurance,The problem solving skills come in handy.,Making something visual and interactive that people directly use,1,Maybe if workshops were done in order to inform us. And giving the possible careers within each elective.
9/8/2026 21:34:09,,Cybersecurity,5,Yes,Cloud Computing,I enjoy building websites that actually work I find it fascinating.,Making something visual and interactive that people directly use,1,I was really caught between Cybersecurity and Cloud computing.
9/9/2026 11:12:10,,Data Science,3,No,Cybersecurity,,Making sure things work correctly and don't break in production,2,
9/9/2026 12:24:58,,Quality Assurance,4,Yes,,Writing software is a flexible way of solving problems that keep changing.,Finding and closing security gaps before someone else finds them,3,
9/9/2026 12:32:29,,Data Science,5,Yes,,Problem solving I guess,Turning raw data into something useful or understandable,5,Research more about the career and find my interest on it
9/9/2026 15:40:11,,Cloud Computing,5,Yes,Cloud Computing,Being technical structuring,Making things scale reliably (infrastructure performance uptime),5,
9/9/2026 15:40:35,,Cybersecurity,5,Yes,,I get to learn as I write because I need to do research which is part of learning,Getting separate systems/services to work together smoothly,3,
9/9/2026 15:41:02,,Data Science,3,Yes,,Problem-solving puzzle,Making things scale reliably (infrastructure performance uptime),2,
9/9/2026 15:45:16,,Data Science,4,Yes,,,Making something visual and interactive that people directly use,,
9/9/2026 15:47:07,,System Integration,5,Yes,,Writing software allows me to create programs that I would have to pay to use.,Getting separate systems/services to work together smoothly,3,
9/9/2026 20:29:32,,Cybersecurity,3,Not sure,Cloud Computing,I like seeing things work in real time and understanding why they work.,Finding and closing security gaps before someone else finds them,3,If I could have a test run of each one that would have helped greatly
